timestamp,message_idx,feedback_type,message_preview
2026-01-09T17:32:39.937971,1,positive,Hello! 👋 I can help you with banking products.
2026-01-09T17:32:54.921506,3,negative,Hello! 👋 I can help you with banking products.
2026-01-09T17:36:09.845508,1,positive,Hello! 👋 I can help you with banking products.
2026-01-09T17:36:12.349790,3,negative,Hello! 👋 I can help you with banking products.
2026-01-12T09:28:25.293737,1,positive,It looks like you're interested in debit cards. Could you let me know which bank you are interested 
2026-01-12T09:28:31.782601,3,positive,"Sure, here is a list of debit cards available from HDFC, SBI, and Axis banks along with their key de"
2026-01-12T14:47:32.025837,11,negative,I don't have that specific information in my database.
2026-01-13T14:11:30.227706,3,positive,"Got it! You're interested in a home loan. We offer options with Axis, HDFC, and SBI. 

To assist you"
2026-01-13T14:11:33.981115,5,positive,"You're interested in credit cards! We have options with Axis, HDFC, and SBI. 

To help you find the "
2026-01-13T14:15:10.350091,7,positive,"SBI offers 11 different debit cards. Let me walk you through them:

1. **SBI Debit Card** - This one"
2026-01-13T15:48:03.331699,3,positive,"I'm here to assist with queries related to banking products and services for Axis, HDFC, and SBI. Un"
2026-01-13T15:48:04.703384,1,positive,"I'm sorry, but I don't have information about Rahul Gandhi. My focus is on assisting with banking pr"
2026-01-13T15:48:07.378286,5,positive,"I'm here to assist with questions related to banking products and services for Axis, HDFC, and SBI. "
2026-01-20T09:57:54.399445,5,positive,An ATM (Automated Teller Machine) is a banking machine that allows users to perform various financia
2026-01-20T09:57:59.533442,7,positive,"I'm sorry, but I don't have information regarding ""Kotak"" in the context of banking or financial ser"
2026-01-23T16:50:30.937382,15,positive,Choosing the best home loan between SBI and HDFC depends on your specific needs and preferences. Her
2026-01-23T16:50:34.347673,13,positive,"Here's a comparison of the home loan interest rates for SBI and HDFC:

| Feature                | SB"
2026-01-23T16:50:38.170705,11,positive,"Here's a comparison of SBI and HDFC home loans based on the available information:

| Feature       "
2026-01-23T16:50:41.317621,9,positive,The documents needed for a loan can vary depending on the type of loan you are applying for. Here’s 
2026-01-23T16:51:12.064679,7,positive,"Axis offers a total of 5 credit cards. Let me walk you through them!

1. **Axis Ace** - This card co"
2026-01-28T14:18:36.201784,1,positive,"Hello! 👋 I'm your Banking Assistant for Axis/HDFC/SBI.

I can help you with:
- 💳 Credit & Debit Card"
